FID,Shape,FID_1,Area,Block,Profile,EC,SAR,E_Depth,WT,CaCO3,Gypsum,OM,N,P,K,Fe,Mn,Zn,Cu,TEXTURE_AL,pH,Long,Lat
2545,Point,2892,4,61,186,5.18,6.043721,150,200,2.1,1.25,0.27,199.5,15.98904,16.68,6.038,2.226,0.65,0.034,Sand,8.73,"30° 26' 52.369"" E","30° 20' 25.562"" N"
2651,Point,3046,4,63,669,0.52,2.28,150,200,17.5,0.22,0.22,101.5,2.15,108.02,6.38,3.7,1.18,0.03,Sand,9.11,"30° 29' 37.821"" E","30° 30' 10.746"" N"
2052,Point,1747,1,23,543,1.1,2,150,150,5.5,2.1,0.2,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Sand,8.95,"29° 58' 58.742"" E","30° 32' 42.342"" N"
2498,Point,2835,4,51,54,0.32,1.85,150,200,1.11,0.84,0.08,157.5,8.4,75.88,5.19,13.64,1.79,2.03,Sand,8.72,"30° 21' 9.635"" E","30° 35' 0.742"" N"
2511,Point,2852,4,51,223,4.16,5.57,150,200,1.23,0.42,0.25,147,3.28,77.74,1.43,9.03,3.24,1.79,Sand,8.94,"30° 16' 29.250"" E","30° 32' 33.139"" N"
1844,Point,178,1,64,23,3.26,4.8,150,150,7.5,0.9,0.38,96,12,480,4.4,4.6,1.02,2.9,Sand,7.94,"30° 22' 40.131"" E","30° 43' 40.728"" N"
2096,Point,1841,1,22,37,8.5,8.8,150,150,25.9,0.99,0.17,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Sand,8.62,"29° 58' 5.049"" E","30° 28' 38.390"" N"
2775,Point,3309,4,61,2,1.11,4.242641,150,200,2.4,0.12,0.23,231,9.12024,38.16,5.122,2.792,0.65,0.218,Sand,8.41,"30° 23' 7.033"" E","30° 22' 18.211"" N"
2371,Point,2652,4,38,31,3.06,6.05,150,200,2.89,1.13,0.27,147,2.97648,81.48,6.438,3.842,0.65,0.17,Sand,8.37,"30° 14' 41.976"" E","30° 21' 10.615"" N"
2522,Point,2864,4,51,310,0.35,2.19,150,200,1.09,1.47,0.1,136.5,3.03,141.6,2.79,4.43,1.94,1.31,Sand,8.88,"30° 21' 10.930"" E","30° 31' 45.917"" N"
2201,Point,1998,1,32,540,4.19,11.96,120,150,8.2,2.1,0.55,99.75,4.78908,46.86,9.044,1.902,0.79,0.262,Sand,8.88,"30° 6' 6.392"" E","30° 39' 31.374"" N"
2768,Point,3263,4,113,641,0.61,2.4,120,200,5.66,0.13,0.13,79.1,15.01,63.62,9.26,6.62,3.19,1.37,Sand,8.48,"30° 42' 45.339"" E","30° 30' 13.148"" N"
2028,Point,1638,1,17,634,2.4,5.2,50,120,17.2,0.95,24,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Sand,8.64,"29° 52' 20.550"" E","30° 38' 52.462"" N"
2842,Point,3465,4,114,452,0.75,1.13,150,200,0.11,1.3,0.19,43.51,10.93,65.54,4.9,12.66,2.55,5.02,Sand,9.2,"30° 43' 39.954"" E","30° 39' 57.773"" N"
2794,Point,3347,4,85,353,0.32,2.39,70,200,0.18,0.29,1.2,115.5,11.69604,85.24,6.9,3.442,1.034,1.042,Sand,9.19,"30° 32' 24.040"" E","30° 39' 7.156"" N"
2085,Point,1814,1,30,67,55.2,14.6,110,150,8.6,1.09,0.65,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Sand,8.97,"30° 2' 9.350"" E","30° 27' 35.319"" N"
1857,Point,204,1,52,135,4.39,12.76,150,150,29,0.97,0.23,80,22,365,3.075,3.975,0.87,3.7,Sand,8.26,"30° 16' 24.274"" E","30° 43' 38.773"" N"
1829,Point,162,1,53,450,3.5,4.9,120,120,12.54,0.96,0.63,96,12,480,4.4,4.6,1.02,2.9,Sand,8.1,"30° 20' 8.560"" E","30° 46' 38.566"" N"
2792,Point,3344,4,85,296,1.02,5.58,150,200,0.18,0.33,1.1,120.75,19.40436,28,3.134,3.458,1.342,0.17,Sand,8.89,"30° 37' 5.534"" E","30° 39' 56.778"" N"
2189,Point,1983,1,40,265,2.44,6.89,150,150,6.22,1.09,0.56,99.75,4.78908,46.86,9.044,1.902,0.79,0.262,Sand,8.61,"30° 10' 31.362"" E","30° 35' 29.600"" N"
1971,Point,1536,1,46,133,4.72,12.55,150,120,2.86,1.17,0.58,82,22.15,410,8.325,5.675,0.8,4.3,Sand,7.53,"30° 14' 34.689"" E","31° 16' 38.776"" N"
2776,Point,3310,4,61,2,1.11,4.242641,150,200,2.4,0.12,0.23,199.5,8.31888,611.8,4.238,2.438,0.65,0.218,Sand,6.67,"30° 28' 46.487"" E","30° 14' 45.058"" N"
1887,Point,317,1,42,88,1,3.7,150,150,10.88,1.09,1.22,108,17,425,6.6,5.2,0.86,4.6,Sand,7.69,"30° 8' 32.740"" E","30° 46' 50.713"" N"
2084,Point,1813,1,30,64,11.8,16.9,120,150,8.6,0.98,0.27,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Sand,8.44,"30° 2' 9.829"" E","30° 26' 46.616"" N"
1831,Point,164,1,52,405,2.37,3.39,150,150,34,0.99,0.5,96,12,480,4.4,4.6,1.02,2.9,Sand,7.99,"30° 19' 32.315"" E","30° 43' 23.553"" N"
2470,Point,2802,4,50,413,107.3,104.63,80,200,2.9,3.5,0.15,129.92,7.07,122.92,5.02,5.02,0.82,0.25,Sand,9.1,"30° 16' 39.360"" E","30° 24' 56.577"" N"
2533,Point,2878,4,51,448,0.88,3.15,150,200,4.09,0.84,0.09,114.5,7.53,151.62,2.43,9.63,3.06,1.71,Sand,9.03,"30° 19' 19.079"" E","30° 30' 7.931"" N"
1914,Point,433,1,69,305,1.55,0.75,150,150,8,3.15,2.42,120,29.97,525,9.375,12.1875,1,0.75,Sand,7.21,"30° 25' 53.373"" E","31° 21' 34.496"" N"
2367,Point,2647,4,30,137,1.94,3.78,130,200,0.08,0.26,0.17,168,3.91,64.82,5.02,1.64,3.18,0.92,Sand,8.88,"30° 7' 10.507"" E","30° 25' 11.328"" N"
2739,Point,3228,4,113,338,1.62,6.18,120,200,4.45,0.08,0.11,59.33,12.99,77.3,4.17,5.1,1.25,3.26,Sand,8.82,"30° 38' 3.348"" E","30° 33' 27.276"" N"
2585,Point,2932,4,61,572,2.1,4.203808,150,200,3.1,0.14,0.23,210,16.06536,630,3.178,3.238,0.65,0.18,Sand,6.91,"30° 26' 54.009"" E","30° 15' 33.308"" N"
2197,Point,1993,1,32,404,3.34,8.91,125,155,5.5,1.2,0.26,99.75,4.78908,46.86,9.044,1.902,0.79,0.262,Sand,8.31,"30° 4' 31.881"" E","30° 40' 35.651"" N"
2637,Point,3014,4,63,381,1.36,4.19,150,200,2.45,0.095,0.05,113.68,20.43,103.82,8.4,5.9,2.64,0.11,Sand,8.5,"30° 29' 36.808"" E","30° 33' 25.577"" N"
2623,Point,2989,4,63,159,1.42,2.88,150,200,6.5,0.31,0.11,46.6,13.75,83.3,3.46,6.62,1.34,0.13,Sand,8.42,"30° 27' 43.438"" E","30° 35' 51.246"" N"
2704,Point,3158,4,84,278,1.57,5.58,150,200,4.52,0.12,0.54,75.15,19.78,131.58,4.64,4.65,1.9,0.688,Sand,8.58,"30° 30' 32.844"" E","30° 34' 14.500"" N"
1845,Point,180,1,64,107,4.5,5.6,120,150,9.1,1.17,0.42,96,12,480,4.4,4.6,1.02,2.9,Sand,7.93,"30° 23' 36.103"" E","30° 44' 45.936"" N"
1878,Point,299,1,33,558,0.6,1.9,150,150,8,1.07,0.43,108,17,425,6.6,5.2,0.86,4.6,Sand,7.52,"30° 6' 21.725"" E","30° 45' 44.887"" N"
2024,Point,1631,1,17,471,0.47,1.35,120,120,53.4,0.78,44,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Sand,8.82,"29° 50' 26.931"" E","30° 40' 12.635"" N"
2444,Point,2752,4,49,234,0.95,3.63,150,120,2.64,1.7,0.28,126,13.06,135.64,9.042,1.712,0.59,0.028,Sand,8.73,"30° 19' 23.458"" E","30° 19' 34.740"" N"
2567,Point,2914,4,61,407,1,3.950387,150,200,1.7,0.2,0.15,136.5,8.31888,64.82,6.312,3.162,0.65,0.17,Sand,8.39,"30° 26' 53.190"" E","30° 17' 59.435"" N"
2632,Point,3004,4,63,303,0.35,3.09,150,200,1.52,0.08,0.09,44.66,12.61,48.58,3.32,8.24,0.95,0.11,Sand,8.31,"30° 27' 43.977"" E","30° 34' 13.832"" N"
2636,Point,3013,4,63,378,2.12,4.14,150,200,1.6,0.1,0.11,142.1,18.29,79.28,6.18,6.42,1.85,0.01,Sand,8.34,"30° 28' 40.527"" E","30° 33' 25.354"" N"
2719,Point,3185,4,84,572,4.48,5.51,150,200,3.26,0.14,0.43,79.1,2.11,141.4,6.14,1.27,7.51,3.38,Sand,8.42,"30° 32' 26.343"" E","30° 31' 0.080"" N"
2549,Point,2896,4,61,252,1.9,5.814525,150,115,2.4,0.26,0.12,315,7.47936,115.94,7.036,3.042,0.65,0.19,Sand,8.88,"30° 24' 4.197"" E","30° 19' 36.111"" N"
1944,Point,736,1,58,92,2.05,3.5,150,100,1.36,3.5,0.47,52.4,18.7,460,4.1,5.775,0.65,2.3,Sand,7.97,"30° 22' 24.847"" E","31° 22' 38.460"" N"
2675,Point,3089,4,82,391,0.37,2.85,150,125,5.9,0.15,0.17,147,2.46132,97.72,5.182,2.426,1.944,0.278,Sand,9.11,"30° 30' 37.726"" E","30° 18' 0.330"" N"
2140,Point,1901,1,32,88,2.22,6.56,140,150,7.75,1.8,0.39,73.08,3.24,27.54,3.12,0.99,1.34,0.12,Sand,8.83,"30° 1' 6.597"" E","30° 38' 24.263"" N"
1773,Point,62,1,52,49,15.82,16.65,150,150,28,0.78,0.23,131.2,9.8,380,5.025,4.25,0.8,4.8,Sand,7.9,"30° 15' 28.145"" E","30° 43' 5.984"" N"
